Pedigree,Person1,Person2,Kinship,Delta7,delta1,delta2,delta3,delta4,delta5,delta6,delta7,delta8,delta9
1,1,1,0.5,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
1,1,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1,1,3,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
1,1,4,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
1,1,5,0.25,0.0,0.0,0.0,0.0,0.0,0.109,0.12,0.152,0.491,0.128
1,1,6,0.25,0.0,0.0,0.0,0.0,0.0,0.119,0.118,0.146,0.494,0.123
1,2,2,0.5,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
1,2,3,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
1,2,4,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
1,2,5,0.25,0.0,0.0,0.0,0.0,0.0,0.12,0.109,0.128,0.491,0.152
1,2,6,0.25,0.0,0.0,0.0,0.0,0.0,0.118,0.119,0.123,0.494,0.146
1,3,3,0.5,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
1,3,5,0.375,0.125,0.0,0.0,0.0,0.0,0.229,0.0,0.247,0.524,0.0
1,3,6,0.375,0.125,0.0,0.0,0.0,0.0,0.237,0.0,0.234,0.529,0.0
1,4,3,0.25,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.23,0.514,0.256
1,4,4,0.5,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
1,4,5,0.375,0.125,0.0,0.0,0.0,0.0,0.229,0.0,0.255,0.516,0.0
1,4,6,0.375,0.125,0.0,0.0,0.0,0.0,0.237,0.0,0.254,0.509,0.0
1,5,5,0.625,1.0,0.229,0.0,0.0,0.0,0.0,0.0,0.771,0.0,0.0
1,6,5,0.375,0.3125,0.054,0.031,0.125,0.027,0.113,0.031,0.212,0.316,0.091
1,6,6,0.625,1.0,0.237,0.0,0.0,0.0,0.0,0.0,0.763,0.0,0.0
2,10,10,0.5,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
2,11,10,0.25,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.278,0.48,0.242
2,11,11,0.5,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
2,11,9,0.25,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.278,0.48,0.242
2,12,10,0.25,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.246,0.497,0.257
2,12,11,0.25,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.238,0.507,0.255
2,12,12,0.5,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
2,12,9,0.25,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.246,0.497,0.257
2,7,10,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
2,7,11,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
2,7,12,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
2,7,7,0.5,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
2,7,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2,7,9,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
2,8,10,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
2,8,11,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
2,8,12,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
2,8,8,0.5,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
2,8,9,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
2,9,10,0.5,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
2,9,9,0.5,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
