Pedigree1,Pedigree2,Person1,Person2,theoretical_kinship,empiric_kinship,fishers_zscore
4,4,54,70,0.25,-0.0017608517119239982,-11.03471889630709
4,4,54,21999,0.125,-0.01961815339439278,-6.057197917625645
4,4,17240,70,0.125,0.005838000067849992,-4.924703037647278
14,14,26732,264,0.0,0.10955177290095937,5.298165808614414
31,31,15884,19770,0.25,0.15036393933482875,-4.216564634142465
23,23,9943,392,0.125,0.02251325814013174,-4.182762147600284
25,14,22041,16636,0.0,0.09697145162111136,4.732509165187274
25,25,11822,24192,0.25,0.15922926641123167,-3.812518811326197
14,14,25732,264,0.125,0.21662170527013563,4.606816284605939
25,25,3012,3016,0.125,0.213888229421578,4.479313699914807
25,17,23404,12004,0.0,-0.08964368333717095,-3.5931248327578027
25,23,23404,19279,0.0,-0.08779674019625365,-3.5103144065512173
17,14,26857,264,0.0,0.08599533238366008,4.240126507261797
10040,8,234,5226,0.0,-0.08597090497694686,-3.428476985894351
23,19,743,8344,0.0,-0.08565428615278961,-3.4142881744891858
19,19,22375,720,0.125,0.040507761313068706,-3.3814855521132725
25,23,23404,743,0.0,-0.08319521328516832,-3.3041145723958563
10040,8,234,13234,0.0,-0.08058838496627364,-3.1873706237754607
23,8,3121,19099,0.0,-0.0792374779832027,-3.126891256987186
10040,8,234,7395,0.0,-0.07915304629676077,-3.123111731500742
10040,8,234,19099,0.0,-0.07892085915904545,-3.112718298366276
17,17,908,10418,0.25,0.17459583334366346,-3.1093539867292397
31,23,19770,3760,0.0,-0.07838260715797815,-3.088625902843848
31,31,152,19770,0.125,0.04727285018922859,-3.079968428067459
14,14,25732,25732,0.5,0.5562798258652266,3.880490102596757
10040,11,234,7670,0.0,-0.07725333335181728,-3.0380857424019543
25,17,24192,12004,0.0,-0.07693671452766002,-3.0239172018462965
25,17,23404,19113,0.0,-0.07691560660604956,-3.0229726571971223
23,19,743,23699,0.0,-0.0768522828412181,-3.0201390417575555
17,8,12004,5226,0.0,-0.07675729719397092,-3.015888670610398
23,19,3760,8344,0.0,-0.07638790856578746,-2.9993600414165194
10029,17,434,12004,0.0,-0.07607128974163022,-2.9851933918864106
10040,25,234,3012,0.0,-0.07607128974163022,-2.9851933918864106
25,17,1269,12004,0.0,-0.07576522487827822,-2.9714996164805587
31,17,26817,26857,0.0,0.07564189683371805,3.7765367362349114
17,3,12004,17445,0.0,-0.07559636150539435,-2.963944703640422
17,17,26857,26857,0.5,0.5543590049986726,3.756946850217254
23,23,25271,9943,0.0625,-0.012631431341322842,-2.9404934719993547
25,25,24192,398,0.125,0.0506501176469059,-2.9293744468986875
24,17,15061,12004,0.0,-0.0747731525625855,-2.9271172733437028
24,17,19621,12004,0.0,-0.07463595107211736,-2.9209798129120683
17,17,11361,309,0.125,0.0509561825102579,-2.9157243663765433
29,23,5986,19279,0.0,-0.0742665624439339,-2.904456508575171
28,14,21962,264,0.0,0.07419600420339995,3.7118552474813065
23,3,743,21688,0.0,-0.0736333247956194,-2.876132962244628
22,17,2381,26857,0.0,0.07345722694703302,3.6788117152156383
23,23,19279,9943,0.125,0.05210656423802924,-2.8644150523959913
23,17,3760,22601,0.0,-0.07328504408904643,-2.8605561451963006
23,23,19279,18496,0.125,0.05304586674969574,-2.822515723222058
23,4,743,21999,0.0,-0.07234574157737993,-2.818549916109601
25,25,1269,11822,0.25,0.18103374943486086,-2.813620986580731
23,4,19279,21999,0.0,-0.07194469106678074,-2.8006164248480427
28,17,9782,26857,0.0,0.07177914717899961,3.6037690302904193
23,17,19279,12004,0.0,-0.07174416581148116,-2.7916500696775097
23,8,25256,19099,0.0,-0.07163862620342874,-2.786931039583271
28,14,9782,25732,0.0,0.07156806796289479,3.5943309942685753
17,4,19113,21999,0.0,-0.07141699302651866,-2.777021309724861
19,1,10272,9218,0.0,-0.07106871231994569,-2.7614495137670656
23,17,743,12004,0.0,-0.07106871231994569,-2.7614495137670656
31,31,10372,10372,0.5,0.4447561220362384,-2.7602586850078095
10040,11,234,182,0.0,-0.07101594251591949,-2.7590902184253356
10008,31,92,19770,0.0,-0.07097372667269852,-2.757202794948777
10040,25,234,22711,0.0,-0.07093151082947755,-2.7553153828397003
31,31,14705,6885,0.125,0.05467117671370295,-2.750005825871471
4,4,17240,21999,0.0625,-0.008219875724731854,-2.7442301883635536
17,4,12004,70,0.0,-0.07063599992693079,-2.7421038157862645
19,17,3593,19235,0.0,-0.07062544596612554,-2.7416319843716224
23,17,25271,18645,0.0,-0.07054101427968361,-2.73785735849424
23,17,3760,12004,0.0,-0.07010830188666871,-2.718513108908611
23,4,3121,70,0.0,-0.07009774792586347,-2.7180413127075487
25,17,24192,19113,0.0,-0.07001331623942153,-2.7142669683448797
17,8,12004,13234,0.0,-0.06984445286653765,-2.706718414091692
23,8,25271,7395,0.0,-0.06974946721929048,-2.7024724309832795
23,23,19279,3121,0.25,0.18351393022409263,-2.6995022332185434
28,14,21962,4078,0.0,0.06940450599782026,3.4976074969297466
25,23,11822,19279,0.0,-0.06928509294385986,-2.6817151037114266
10040,1,234,3226,0.0,-0.06915844541419694,-2.676054247767855
23,4,3760,21999,0.0,-0.06905290580614454,-2.6713369439364283
31,23,19770,17654,0.0,-0.06905290580614454,-2.6713369439364283
23,23,19279,25566,0.0,-0.0690423518453393,-2.6708652173548253
23,17,25271,12004,0.0,-0.06900013600211834,-2.668978317934921
17,4,19113,24010,0.0,-0.06892625827648166,-2.6656762705235773
25,10,23404,480,0.0,-0.0688629345116502,-2.6628459710658117
31,23,19770,26274,0.0,-0.06849354588346673,-2.646336384456007
23,3,743,26294,0.0,-0.06831412854977763,-2.6383177455161073
17,17,16612,26857,0.0,0.06830689407407514,3.448549232075924
23,4,25256,21999,0.0,-0.06802917160803611,-2.6255826658292674
23,17,743,22601,0.0,-0.06798695576481513,-2.623696029595032
25,23,1269,19279,0.0,-0.06791307803917844,-2.6203944423610506
19,19,3593,22375,0.125,0.05760517781756012,-2.6190783435200053
22,19,384,3593,0.0,-0.06783920031354175,-2.6170928884102787
23,17,7079,26857,0.0,0.06780030395542352,3.425909455854022
